Date Created,Duration,Date Digitized,Physical Format,Episode Number,Program Title,Series Title
6/10/1999,0:30:00,,Betacam SP,,French Maps 2,
9/27/1999,0:30:00,,Betacam SP,,French Maps 3,
,0:30:00,,Betacam SP,,French Maps 1,
n.d.,,,Film: 16mm,,Test patterns,
7/20/2005,,,DVCPRO50,,WIN-compacts 5,
12/1/2005,,,Betacam SP,,Garden Expo 2006,
n.d.,0:04:00,,Betacam SP,,Halloween footage,
1/17/2006,,,Betacam SP,,Nature 2307,
10/5/2005,0:30:00,,Betacam SP,,Brian Burke plea footage,
11/30/1988,0:23:48,,3/4 inch videotape,,Full citizenship initiative,
3/3/1983,0:25:30,2/3/2016,BetcamSP,,Green Bay Packers: The grandstand franchise: Don Hutson interview,
1/31/1980,0:58:00,3/10/2016,3/4 inch videotape,,Gymnastics,
5/18/1977,0:29:05,8/7/2014,3/4 inch videotape,,On Wisconsin women: Issues facing women in Wisconsin,
,,10/25/2016,3/4 inch videotape,,Steven Vedro Demo 1,
,,10/25/2016,3/4 inch videotape,,,
2/4/2001,0:30:32,1/3/2014,3/4 inch videotape,,"Richard Davis interview, tape 2 of 3",
n.d.,,,Film: 16mm,,Dow riots,
n.d.,,,Film: 16mm,,MS remote,
2/4/2001,0:30:25,12/12/2013,3/4 inch videotape,,"Richard Davis interview, tape 1 of 3",
1985,,,Film: 16mm,,Sidran-Davis: Richard Davis [performance footage],
1974,,,Film: 16mm,,"Sea grant, no. 86: Summer 1974 [titles, a, b, c rolls]",
n.d.,,,3/4 inch videotape,,University news service?: Fred Aubey WREX,
1974,,,Film: 16mm,,"Sea grant, no. 85: Summer 1974",
n.d.,,,3/4 inch videotape,,University news service?: Bascom / Fred Aubey,
1974,,,Film: 16mm,,"Sea grant, no. 87: Summer 1974 [w/p outs]",
1985,,,Film: 16mm,,Sidran-Davis: Richard Davis original: All Blues / Davis-Sidran,
1957-07,,,Film: 16mm,,Research report: Heart surgery,
1957-07,0:40:18,,Film: 16mm,,Research report: Cardio-vascular research,
1954-02,0:13:19,,Film: 16mm,,March of Medicine: Diabetes / State Medical Society,
1975-05,,,3/4 inch videotape,,University of Wisconsin-Madison: The Changed Campus,
1971-07,0:00:50,,3/4 inch videotape,,University of Wisconsin public service: Phone for information,
n.d.,,,3/4 inch videotape,,University news service?: Fred Aubey,
n.d.,,,3/4 inch videotape,,University news service?: Heart transplant (Fred Aubey),
n.d.,,,Film: 16mm,,Playtree,
